# Channel 1,,
# Trace 2,,
Frequency,Real,Imaginary
7.20E+08,1.89E-01,-1.06E-01
7.25E+08,2.66E-02,-1.96E-01
7.30E+08,-1.60E-01,-1.20E-01
7.35E+08,-2.02E-01,9.56E-02
7.40E+08,-3.75E-02,2.49E-01
7.45E+08,1.76E-01,1.97E-01
7.50E+08,2.55E-01,6.11E-03
7.55E+08,1.58E-01,-1.68E-01
7.60E+08,-3.78E-02,-1.96E-01
7.65E+08,-1.67E-01,-5.37E-02
7.70E+08,-1.27E-01,1.23E-01
7.75E+08,2.85E-02,1.87E-01
7.80E+08,1.68E-01,1.11E-01
7.85E+08,1.95E-01,-3.74E-02
7.90E+08,1.06E-01,-1.49E-01
7.95E+08,-3.39E-02,-1.62E-01
8.00E+08,-1.48E-01,-6.29E-02
8.05E+08,-1.27E-01,9.33E-02
8.10E+08,1.48E-06,1.72E-01
8.15E+08,1.46E-01,1.26E-01
8.20E+08,2.01E-01,-3.01E-02
8.25E+08,1.04E-01,-1.69E-01
8.30E+08,-6.80E-02,-1.78E-01
8.35E+08,-1.84E-01,-3.89E-02
8.40E+08,-1.42E-01,1.37E-01
8.45E+08,2.31E-02,2.06E-01
8.50E+08,1.77E-01,1.27E-01
8.55E+08,2.17E-01,-4.88E-02
8.60E+08,8.82E-02,-2.00E-01
8.65E+08,-1.20E-01,-1.74E-01
8.70E+08,-2.11E-01,1.79E-02
8.75E+08,-1.09E-01,1.90E-01
8.80E+08,7.99E-02,2.20E-01
8.85E+08,2.21E-01,8.19E-02
8.90E+08,1.83E-01,-1.06E-01
8.95E+08,1.98E-02,-1.76E-01
9.00E+08,-1.17E-01,-8.79E-02
9.05E+08,-1.30E-01,4.88E-02
9.10E+08,-4.44E-02,1.52E-01
9.15E+08,8.95E-02,1.46E-01
9.20E+08,1.69E-01,5.43E-02
9.25E+08,1.62E-01,-7.39E-02
9.30E+08,6.06E-02,-1.60E-01
9.35E+08,-8.39E-02,-1.43E-01
9.40E+08,-1.69E-01,-3.75E-03
9.45E+08,-1.02E-01,1.47E-01
9.50E+08,5.98E-02,1.86E-01
9.55E+08,1.88E-01,7.84E-02
9.60E+08,1.78E-01,-9.16E-02
9.65E+08,2.94E-02,-1.90E-01
9.70E+08,-1.39E-01,-1.18E-01
9.75E+08,-1.78E-01,5.58E-02
9.80E+08,-6.50E-02,1.91E-01
9.85E+08,1.17E-01,1.82E-01
9.90E+08,2.16E-01,2.90E-02
9.95E+08,1.43E-01,-1.51E-01
1.00E+09,-5.05E-02,-1.87E-01
